compound,dose,cl_hepatic,cl_renal,cl_total,kp_mean,kp_min,kp_max,c0_expected,c0_pred,c0_ratio,pred_cmax,obs_cmax,cmax_ratio,pred_auc,obs_auc,auc_ratio
Cc1ccc(-c2nc3ccc(C)cn3c2CC(=O)N(C)C)cc1,100.0,0.16509705781936646,0.05503235384821892,0.22012941539287567,0.16499997675418854,0.029999999329447746,1.0,20.0,20.0,1.0,20.0,,,3.25829815864563,,
CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc([N+](=O)[O-])c1,100.0,0.38664329051971436,0.12888109683990479,0.5155243873596191,0.16499997675418854,0.029999999329447746,1.0,20.0,20.0,1.0,20.0,,,3.260334014892578,,
Carvedilol,25.0,85.38749694824219,28.462499618530273,113.8499984741211,9.428571701049805,1.0,20.0,5.0,5.0,1.0,5.0,,,2.556528329849243,,
Lisinopril,10.0,3.2484374046325684,1.0828125476837158,4.331250190734863,1.7557140588760376,0.5400000214576721,3.5999999046325684,2.0,2.0,1.0,2.0,,,2.2697060108184814,,
Losartan,50.0,8.835749626159668,2.9452500343322754,11.781000137329102,0.7966070771217346,0.23250000178813934,1.5499999523162842,10.0,10.0,1.0,10.0,,,2.7553861141204834,,
Celecoxib,200.0,18.899999618530273,6.300000190734863,25.200000762939453,9.358393669128418,1.0,19.850000381469727,40.0,40.0,1.0,40.0,,,4.180645942687988,,
Naproxen,500.0,0.3465000092983246,0.11550000309944153,0.4620000123977661,0.23517858982086182,0.05249999836087227,1.0,100.0,100.0,1.0,100.0,,,7.665505409240723,,
Indomethacin,25.0,1.3860000371932983,0.4620000123977661,1.8480000495910645,0.2819642424583435,0.06750000268220901,1.0,5.0,5.0,1.0,5.0,,,2.4631831645965576,,
Ketorolac,10.0,1.351349949836731,0.45045000314712524,1.801800012588501,0.3053571581840515,0.07500000298023224,1.0,2.0,2.0,1.0,2.0,,,2.2871439456939697,,
Codeine,30.0,39.84749984741211,13.282500267028809,53.130001068115234,5.381607532501221,1.0,11.350000381469727,6.0,6.0,1.0,6.0,,,2.5195350646972656,,
Fentanyl,0.10000000149011612,51.974998474121094,17.325000762939453,69.30000305175781,8.188751220703125,1.0,17.350000381469727,0.02,0.019999999552965164,1.0,1.1939542293548584,,,2.2341055870056152,,
Ciprofloxacin,500.0,22.739063262939453,7.579687595367432,30.318750381469727,4.09499979019165,1.0,8.600000381469727,100.0,100.0,1.0,100.0,,,7.716044902801514,,
Levofloxacin,500.0,6.410250186920166,2.1367499828338623,8.54699993133545,1.7323213815689087,0.5325000286102295,3.549999952316284,100.0,100.0,1.0,100.0,,,7.683302402496338,,
Moxifloxacin,400.0,6.06374979019165,2.021250009536743,8.085000038146973,3.276250123977661,1.0,6.849999904632568,80.0,80.0,1.0,80.0,,,6.662383556365967,,
Doxycycline,100.0,1.443750023841858,0.48124998807907104,1.9249999523162842,1.1708928346633911,0.35249999165534973,2.3499999046325684,20.0,20.0,1.0,20.0,,,3.303544282913208,,
Clarithromycin,500.0,25.363800048828125,8.45460033416748,33.81840133666992,5.709107398986816,1.0,12.050000190734863,100.0,100.0,1.0,100.0,,,7.6863298416137695,,
Metronidazole,500.0,3.3783750534057617,1.1261249780654907,4.504499912261963,1.2176786661148071,0.3675000071525574,2.450000047683716,100.0,100.0,1.0,100.0,,,7.671466827392578,,
Cephalexin,500.0,9.355500221252441,3.118499994277954,12.473999977111816,0.42232146859169006,0.11249999701976776,1.0,100.0,100.0,1.0,100.0,,,7.8305182456970215,,
Cefuroxime,250.0,7.19653844833374,2.39884614944458,9.59538459777832,0.42232146859169006,0.11249999701976776,1.0,50.0,50.0,1.0,50.0,,,5.157468795776367,,
Acebutolol,400.0,25.987499237060547,8.662500381469727,34.650001525878906,3.510178327560425,1.0,7.349999904632568,80.0,80.0,1.0,80.0,,,6.600844860076904,,
Amiodarone,200.0,1.443750023841858,0.48124998807907104,1.9249999523162842,9.428571701049805,1.0,20.0,40.0,40.0,1.0,40.0,,,4.393608570098877,,
Bisoprolol,10.0,10.867500305175781,3.622499942779541,14.489999771118164,5.381607532501221,1.0,11.350000381469727,2.0,2.0,1.0,2.0,,,2.2579572200775146,,
Captopril,25.0,14.812874794006348,4.937624931335449,19.750499725341797,1.334643006324768,0.4050000011920929,2.700000047683716,5.0,5.0,1.0,5.0,,,2.4155733585357666,,
Candesartan,8.0,0.5197499990463257,0.1732500046491623,0.6930000185966492,0.21178574860095978,0.04500000178813934,1.0,1.6,1.600000023841858,1.0,1.600000023841858,,,2.2211427688598633,,
Clonidine,0.20000000298023224,6.496874809265137,2.1656250953674316,8.662500381469727,3.510178327560425,1.0,7.349999904632568,0.04,0.03999999910593033,1.0,1.199927568435669,,,2.185495376586914,,
Doxazosin,4.0,1.653749942779541,0.5512499809265137,2.2049999237060547,1.6387498378753662,0.5024999976158142,3.3499999046325684,0.8,0.800000011920929,1.0,1.185869574546814,,,2.180776834487915,,
Felodipine,5.0,33.07500076293945,11.024999618530273,44.099998474121094,9.428571701049805,1.0,20.0,1.0,1.0,1.0,1.1179109811782837,,,2.2052385807037354,,
Irbesartan,150.0,1.9676250219345093,0.655875027179718,2.623500108718872,1.2410714626312256,0.375,2.5,30.0,30.0,1.0,30.0,,,3.8710803985595703,,
Ampicillin,500.0,10.395000457763672,3.4649999141693115,13.860000610351562,0.4691072106361389,0.1274999976158142,1.0,100.0,100.0,1.0,100.0,,,7.824114799499512,,
Cefaclor,250.0,13.859999656677246,4.619999885559082,18.479999542236328,0.4691072106361389,0.1274999976158142,1.0,50.0,50.0,1.0,50.0,,,5.082196235656738,,
Cefixime,400.0,2.2274999618530273,0.7425000071525574,2.9700000286102295,0.35214290022850037,0.09000000357627869,1.0,80.0,80.0,1.0,80.0,,,6.694619655609131,,
Clindamycin,300.0,12.473999977111816,4.1579999923706055,16.631999969482422,1.4048212766647339,0.42750000953674316,2.8499999046325684,60.0,60.0,1.0,60.0,,,5.657747268676758,,
Erythromycin,500.0,19.0575008392334,6.352499961853027,25.40999984741211,1.2878570556640625,0.38999998569488525,2.5999999046325684,100.0,100.0,1.0,100.0,,,7.7564873695373535,,
Imipenem,500.0,7.796249866485596,2.598750114440918,10.395000457763672,0.35214290022850037,0.09000000357627869,1.0,100.0,100.0,1.0,100.0,,,7.750418186187744,,
Norfloxacin,400.0,25.987499237060547,8.662500381469727,34.650001525878906,4.09499979019165,1.0,8.600000381469727,80.0,80.0,1.0,80.0,,,6.59805965423584,,
Clomipramine,75.0,19.490625381469727,6.496874809265137,25.987499237060547,9.428571701049805,1.0,20.0,15.0,15.0,1.0,15.0,,,2.8414838314056396,,
Doxepin,75.0,39.74558639526367,13.248529434204102,52.994117736816406,9.428571701049805,1.0,20.0,15.0,15.0,1.0,15.0,,,2.9324913024902344,,
Fluvoxamine,100.0,48.5099983215332,16.170000076293945,64.68000030517578,9.428571701049805,1.0,20.0,20.0,20.0,1.0,20.0,,,3.206430196762085,,
Glipizide,5.0,1.6334999799728394,0.5444999933242798,2.177999973297119,0.25857144594192505,0.05999999865889549,1.0,1.0,1.0,1.0,1.198039174079895,,,2.2260680198669434,,
Glyburide,5.0,0.6756749749183655,0.22522500157356262,0.9009000062942505,0.3053571581840515,0.07500000298023224,1.0,1.0,1.0,1.0,1.197794795036316,,,2.219104766845703,,
Pioglitazone,30.0,5.544000148773193,1.8480000495910645,7.392000198364258,1.4983928203582764,0.45750001072883606,3.049999952316284,6.0,6.0,1.0,6.0,,,2.528346538543701,,
Sitagliptin,100.0,8.232839584350586,2.7442800998687744,10.977119445800781,4.633036136627197,1.0,9.75,20.0,20.0,1.0,20.0,,,3.2816109657287598,,
Levothyroxine,0.10000000149011612,0.030937500298023224,0.010312500409781933,0.04125000163912773,0.23517858982086182,0.05249999836087227,1.0,0.02,0.019999999552965164,1.0,1.1863856315612793,,,2.1381819248199463,,
Etodolac,400.0,1.7077499628067017,0.5692499876022339,2.2769999504089355,0.5392857193946838,0.15000000596046448,1.0,80.0,80.0,1.0,80.0,,,6.673564434051514,,
