canonical_smiles,fu,vd,clearance,source,split_original,chembl_id,priority
C#Cc1cccc(C(=O)NCCNC(=O)[C@H](CC(=O)NC(C)(C)C)NS(=O)(=O)c2ccc(C)cc2)c1,,,61.0,ChEMBL,,CHEMBL4444494,1
C#Cc1cccc(C[C@H](NC(=O)COC)[C@H](O)CN[C@H]2CC3(CCC3)Oc3ncc(CC(C)(C)C)cc32)c1,,1.54,11.83,ChEMBL,,CHEMBL2181896,1
C#Cc1cccc(Nc2nc3cc(C(=O)O)ccc3c3cncnc23)c1,,2.5100000000000002,2.99985,ChEMBL,,CHEMBL1682283,1
C#Cc1cccc(Nc2nccc3c(Nc4ncccc4-c4cc(NC)ncn4)c(C)ccc23)c1,,2.2,12.17,ChEMBL,,CHEMBL571278,1
C#Cc1cccc(Nc2ncnc3cc(OC)c(OCCCN4CCOCC4)cc23)c1,,,27.5,ChEMBL,,CHEMBL5281903,1
C#Cc1cccc(Nc2ncnc3cc(OC)c(OCC[18F])cc23)c1,,,90.0,ChEMBL,,CHEMBL2057650,1
C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,0.0418,0.77,9.77,KEC,train,,3
C#Cc1cccc(Nc2ncnc3cc(O[C@H]4CCOC4)c(NC(=O)/C=C/CNC(C)C)cc23)c1,,7.4,170.0,ChEMBL,,CHEMBL3622679,1
C#Cc1cccc(Nc2ncnc3cc(O[C@H]4CCOC4)c(NC(=O)/C=C/CNC4CC4)cc23)c1,,2.2,50.0,ChEMBL,,CHEMBL3622676,1
C#Cc1cccc(Nc2ncnc3cc4c(cc23)OCCOCCOCCO4)c1,,3.9,3.55,KEC+merged,train,,3
C#Cc1cnc(Nc2cnc(C#N)cn2)cc1NC[C@@H]1CNCCO1,,,105.83,ChEMBL,,CHEMBL4740741,1
C#Cc1cnc2nc(O)n(C(CC)CC)c2n1,0.05,,4.3,ChEMBL,,CHEMBL3039529,1
C#Cc1n[nH]c2c(-c3cn(C(C)c4ccccc4)c(=O)[nH]c3=O)cc(F)cc12,,,60.0,ChEMBL,,CHEMBL5408628,1
